,loss,localization_loss,classification_loss,localization_mean_squared_error,classification_accuracy,val_loss,val_localization_loss,val_classification_loss,val_localization_mean_squared_error,val_classification_accuracy,lr
0,4.666511104093583,9.339405059814453,2.7986292839050293,12424.8505859375,0.08589385449886322,4.648582366205031,9.353086471557617,2.7779645919799805,12587.6630859375,0.08669354766607285,0.009999999776482582
1,4.6148915130998835,9.328349113464355,2.7492222785949707,12298.79296875,0.10387569665908813,4.6416712730161604,9.34819507598877,2.7720320224761963,12529.287109375,0.10685484111309052,0.009999999776482582
2,4.572815079928777,9.296894073486328,2.7134361267089844,11968.5966796875,0.11129539459943771,4.683223062945951,9.323735237121582,2.8184762001037598,12249.7099609375,0.10433467477560043,0.009999999776482582
3,4.531122972179392,9.254190444946289,2.680285692214966,11517.138671875,0.13015013933181763,4.653115641686224,9.291739463806152,2.7947678565979004,11902.7939453125,0.1083669364452362,0.009999999776482582
4,4.485107509783527,9.194912910461426,2.6461243629455566,10941.646484375,0.15057611465454102,4.505755009189729,9.263358116149902,2.653083324432373,11638.5068359375,0.19707661867141724,0.009999999776482582
5,4.426472653223816,9.122343063354492,2.602003812789917,10294.44140625,0.17379538714885712,4.415998351189398,9.210495948791504,2.573899745941162,11139.427734375,0.20564515888690948,0.009999999776482582
6,4.308992618955047,9.028890609741211,2.503213882446289,9543.7744140625,0.20583100616931915,4.168138642464915,9.129551887512207,2.342228412628174,10432.9794921875,0.2520161271095276,0.009999999776482582
7,4.033669446433723,8.907157897949219,2.252237319946289,8707.38671875,0.29259777069091797,3.6543507191442672,9.017391204833984,1.85087251663208,9567.4296875,0.453125,0.009999999776482582
8,3.6228644248493556,8.736696243286133,1.8755263090133667,7709.59716796875,0.41305866837501526,3.1533953451341197,8.835355758666992,1.386324167251587,8482.3994140625,0.5912298560142517,0.009999999776482582
9,3.279618782704103,8.394993782043457,1.6006195545196533,6271.4306640625,0.4974685609340668,2.945357714929888,8.409981727600098,1.263360857963562,6778.6220703125,0.6330645084381104,0.009999999776482582
10,2.9773466773539283,7.846811294555664,1.407984733581543,4464.29833984375,0.5602304339408875,2.7725279100479616,7.811435699462891,1.2102407217025757,4541.77294921875,0.6391128897666931,0.009999999776482582
11,2.763911570916629,7.501858234405518,1.2635389566421509,3397.632080078125,0.6071054339408875,2.4733723517387145,7.620894432067871,0.9491934180259705,3855.42626953125,0.7303427457809448,0.009999999776482582
12,2.63522705685493,7.340123176574707,1.167202115058899,2957.337890625,0.6414979100227356,2.3594427416401524,7.526857852935791,0.8540710210800171,3562.4296875,0.7530242204666138,0.009999999776482582
13,2.507091984402534,7.180398941040039,1.071012020111084,2516.155517578125,0.676152229309082,2.2319513520886822,7.246678352355957,0.7826156616210938,2875.171875,0.7666330933570862,0.009999999776482582
14,2.3789168589607965,7.006694793701172,0.9775780439376831,2132.870361328125,0.703125,2.202590757800687,7.16336727142334,0.7699171304702759,2547.356689453125,0.7666330933570862,0.009999999776482582
15,2.2941718307953307,6.82792854309082,0.9285863041877747,1757.5450439453125,0.713076114654541,1.9693839127017605,6.684543609619141,0.6324751377105713,1662.8883056640625,0.8130040168762207,0.009999999776482582
16,2.1823272412049706,6.661773204803467,0.8499725461006165,1448.423095703125,0.7410090565681458,1.9200819807667886,6.525760650634766,0.6149299740791321,1362.9556884765625,0.8140121102333069,0.009999999776482582
17,2.1010688676514437,6.542271137237549,0.7926150560379028,1269.7333984375,0.7549755573272705,1.9080047722785705,6.52764892578125,0.6024749875068665,1390.27294921875,0.8220766186714172,0.009999999776482582
18,2.048293107714733,6.440320014953613,0.7602289319038391,1140.50048828125,0.7658868432044983,1.8327498743610997,6.4075212478637695,0.5512453317642212,1187.7764892578125,0.8326612710952759,0.009999999776482582
19,1.9949088323049704,6.381053924560547,0.7186981439590454,1071.6552734375,0.7779329419136047,1.7882851631410661,6.29543399810791,0.5291984677314758,1065.08251953125,0.8397177457809448,0.009999999776482582
20,1.9424411757698272,6.294868469238281,0.6834675669670105,982.9993286132812,0.786836564540863,1.8061314744334067,6.3536295890808105,0.5354052782058716,1117.46728515625,0.8387096524238586,0.009999999776482582
21,1.915799630420834,6.243070125579834,0.6671855449676514,940.4728393554688,0.7974860072135925,1.6822462466455275,6.151086807250977,0.45202887058258057,907.129150390625,0.8608871102333069,0.009999999776482582
22,1.8855180933488813,6.189294815063477,0.6476590633392334,893.396728515625,0.802461564540863,1.6270810096494612,5.986667156219482,0.42974749207496643,784.923095703125,0.8729838728904724,0.009999999776482582
23,1.8492106372417685,6.158172607421875,0.6175761818885803,872.3609619140625,0.8087465167045593,1.6509186183252642,6.1860127449035645,0.41371622681617737,907.5505981445312,0.8734878897666931,0.009999999776482582
24,1.8066296550814667,6.1141862869262695,0.5837924480438232,840.9780883789062,0.8201815485954285,1.6082357283561461,6.020942211151123,0.4040471315383911,785.6312255859375,0.8734878897666931,0.009999999776482582
25,1.759286568151506,6.0812482833862305,0.5430371761322021,826.0083618164062,0.832402229309082,1.6001972806069158,5.853360176086426,0.4295254945755005,726.4346313476562,0.8654233813285828,0.009999999776482582
26,1.7456745968184657,6.057853698730469,0.5341033339500427,808.4918823242188,0.8340607285499573,1.5887865328019666,6.075387954711914,0.3737090229988098,830.5985717773438,0.8881048560142517,0.009999999776482582
27,1.7432055047104478,6.036207675933838,0.5359641313552856,796.4193725585938,0.832402229309082,1.5946777636005032,5.825860977172852,0.4295056164264679,700.1482543945312,0.8729838728904724,0.009999999776482582
28,1.721833299658152,6.022739887237549,0.5172855257987976,788.663818359375,0.8388617038726807,1.5887534618377686,6.027429103851318,0.3832676112651825,778.6521606445312,0.8830645084381104,0.009999999776482582
29,1.687099861033136,5.985034942626953,0.49009326100349426,767.1905517578125,0.8486382961273193,1.6085641576397804,5.969204425811768,0.4147234261035919,756.0560302734375,0.8734878897666931,0.009999999776482582
30,1.6817984760806548,5.9615888595581055,0.4894806444644928,758.0288696289062,0.8498603105545044,1.5298815235014884,5.899802207946777,0.34992092847824097,718.5009155273438,0.8916330933570862,0.009999999776482582
31,1.6685158966639855,5.9544172286987305,0.47763243317604065,748.9605712890625,0.8497730493545532,1.503417061221215,5.87209939956665,0.3289972245693207,715.3358154296875,0.8971773982048035,0.009999999776482582
32,1.645697853418702,5.948679447174072,0.45596206188201904,753.3045654296875,0.8615572452545166,1.5205748696481027,5.933633327484131,0.33384832739830017,727.9009399414062,0.8971773982048035,0.009999999776482582
33,1.6331803798675537,5.909017562866211,0.45137694478034973,729.052001953125,0.8590258359909058,1.5469891986539286,5.875166416168213,0.37195590138435364,699.8157348632812,0.8780242204666138,0.009999999776482582
34,1.6127796099838598,5.8941330909729,0.4339531362056732,730.4271850585938,0.8654853105545044,1.4772187125298284,5.8965253829956055,0.2979136109352112,720.919921875,0.9077621102333069,0.009999999776482582
35,1.5984040272302469,5.891804218292236,0.42004334926605225,714.62841796875,0.872294008731842,1.468920426983987,5.794816493988037,0.3099570870399475,668.9988403320312,0.8981854915618896,0.009999999776482582
36,1.5960170609990978,5.866311073303223,0.4227546751499176,710.4251708984375,0.870722770690918,1.4955333855844313,6.017314910888672,0.2920703589916229,759.4513549804688,0.9138104915618896,0.009999999776482582
37,1.5906068659361514,5.872584342956543,0.41608986258506775,709.5300903320312,0.872032105922699,1.4803842267682474,5.892459869384766,0.30189213156700134,698.7520141601562,0.9022177457809448,0.009999999776482582
38,1.5631581704709783,5.849006652832031,0.3933568000793457,705.7591552734375,0.880673885345459,1.488032344848879,5.8727569580078125,0.31348103284835815,687.6986694335938,0.8961693644523621,0.009999999776482582
