,loss,localization_loss,classification_loss,localization_mean_squared_error,classification_accuracy,val_loss,val_localization_loss,val_classification_loss,val_localization_mean_squared_error,val_classification_accuracy
0,6.206075180842224,6.8303046226501465,2.790922164916992,1751.8543701171875,0.09148044884204865,6.139573758648288,6.730444431304932,2.7743513584136963,1227.099365234375,0.09929435700178146
1,5.921512326714713,6.332152843475342,2.7554354667663574,951.859619140625,0.09759078174829483,6.001317993287118,6.555976390838623,2.723329782485962,1081.7318115234375,0.12147177755832672
2,5.704239554911353,6.196413993835449,2.606032133102417,880.8153076171875,0.17012919485569,5.587739744494038,6.197231292724609,2.489124059677124,868.9135131835938,0.22227822244167328
3,5.409534877904966,6.1285271644592285,2.3452720642089844,848.4444580078125,0.267807275056839,5.276356773991739,6.241568088531494,2.1555728912353516,886.5164184570312,0.3251008093357086
4,5.091808201880428,6.070464611053467,2.0565760135650635,830.1901245117188,0.34837639331817627,4.867478324520972,6.21566915512085,1.7596439123153687,888.9334716796875,0.4390121102333069
5,4.786242556971545,6.027022361755371,1.7727320194244385,800.53271484375,0.4388093650341034,4.473078620049261,6.0650954246521,1.4405306577682495,796.77978515625,0.5504032373428345
6,4.453800064225437,5.970032215118408,1.4687825441360474,775.6356201171875,0.5453037619590759,4.327052500940138,6.354310989379883,1.1498970985412598,993.5001831054688,0.6486895084381104
7,4.193694857911691,5.928194522857666,1.2295987606048584,772.0691528320312,0.6161836385726929,4.068832935825471,6.184637546539307,0.9765140414237976,902.6251220703125,0.7011088728904724
8,3.993903009585162,5.882777690887451,1.0525145530700684,728.6917114257812,0.6716131567955017,3.74348089771886,5.901431560516357,0.7927650213241577,748.584228515625,0.7686492204666138
9,3.850686777903381,5.854063987731934,0.9236555099487305,722.3244018554688,0.708798885345459,3.7363038985959944,6.077627182006836,0.6974904537200928,825.4047241210938,0.805443525314331
10,3.6923668770816738,5.787388324737549,0.7986729145050049,690.313720703125,0.7496508359909058,3.551437647111954,5.871905326843262,0.6154853701591492,726.4341430664062,0.8135080933570862
11,3.5824690744197567,5.766590118408203,0.6991735100746155,681.03125,0.7838687300682068,3.3997664759235997,5.803744792938232,0.49789342284202576,708.0067749023438,0.8623992204666138
12,3.4828717628670804,5.749942779541016,0.607900857925415,671.1958618164062,0.8091829419136047,3.6220310272709018,6.317647933959961,0.46320661902427673,975.5616455078125,0.8608871102333069
13,3.4131681333041057,5.705666542053223,0.5603344440460205,658.7031860351562,0.8279504179954529,3.264529066701089,5.722649097442627,0.4032047390937805,689.6665649414062,0.8770161271095276
14,3.351611594248084,5.693047523498535,0.5050881505012512,653.6340942382812,0.8434008359909058,3.466457220815843,6.171174049377441,0.38086971640586853,870.211669921875,0.8855846524238586
15,3.2756118654538797,5.643448829650879,0.45388686656951904,626.8055419921875,0.8591131567955017,3.2434410664343063,5.807530879974365,0.3396756947040558,727.9345092773438,0.8986895084381104
16,3.2109530624730627,5.585854530334473,0.41802600026130676,603.6602172851562,0.8731669187545776,3.308352247361214,5.991724491119385,0.3124902546405792,781.8690185546875,0.9082661271095276
17,3.1616983147306814,5.5769944190979,0.37320032715797424,609.6228637695312,0.8845146894454956,3.115704490292457,5.657792568206787,0.28680750727653503,658.176513671875,0.914818525314331
18,3.137072613785387,5.570185661315918,0.3519798219203949,599.5858764648438,0.8895775079727173,3.2542647623246714,5.92888879776001,0.2898200750350952,751.65234375,0.914818525314331
19,3.1105507059470234,5.5331711769104,0.3439648449420929,582.1024780273438,0.8947276473045349,3.0718570986101703,5.585651874542236,0.2790306806564331,636.8599853515625,0.9173387289047241
20,3.0502021166199413,5.49580717086792,0.3022984266281128,565.3869018554688,0.9052898287773132,3.276984445510372,6.002793788909912,0.27558761835098267,780.4898071289062,0.9153226017951965
21,3.041726124353249,5.476769924163818,0.3033407926559448,558.6775512695312,0.9043295979499817,3.0719890363754763,5.611393451690674,0.2662923038005829,662.5309448242188,0.9158266186714172
22,3.0102361700388305,5.470307350158691,0.2750832438468933,553.516845703125,0.9091305732727051,3.3564886277721775,6.242801666259766,0.2350880205631256,928.2838745117188,0.9254032373428345
23,2.993405187596156,5.465639114379883,0.26058533787727356,552.3626708984375,0.9160265326499939,3.1336437732942644,5.800225257873535,0.23353134095668793,710.1997680664062,0.9274193644523621
